At time 0.29: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 0
At time 6.09: Arrival, Queue 1 Length: 1011, Queue 2 Length: 4
At time 6.11: Arrival, Queue 1 Length: 1012, Queue 2 Length: 4
At time 6.12: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 4
At time 6.14: Arrival, Queue 1 Length: 1013, Queue 2 Length: 3
At time 6.15: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 3
At time 6.16: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 4
At time 6.32: Arrival, Queue 1 Length: 1013, Queue 2 Length: 3
At time 6.36: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 3
At time 6.41: Service-1 Finished, Queue 1 Length: 1013, Queue 2 Length: 4
At time 6.43: Arrival, Queue 1 Length: 1012, Queue 2 Length: 5
At time 6.44: Service-1 Finished, Queue 1 Length: 1013, Queue 2 Length: 5
At time 6.46: Service-1 Finished, Queue 1 Length: 1012, Queue 2 Length: 6
At time 6.49: Service-2 Finished, Queue 1 Length: 1011, Queue 2 Length: 7
At time 6.51: Arrival, Queue 1 Length: 1011, Queue 2 Length: 6
At time 6.59: Service-1 Finished, Queue 1 Length: 1012, Queue 2 Length: 6
At time 6.61: Arrival, Queue 1 Length: 1011, Queue 2 Length: 7
At time 6.63: Service-1 Finished, Queue 1 Length: 1012, Queue 2 Length: 7
At time 6.76: Service-1 Finished, Queue 1 Length: 1011, Queue 2 Length: 8
At time 6.80: Arrival, Queue 1 Length: 1010, Queue 2 Length: 9
At time 6.83: Service-1 Finished, Queue 1 Length: 1011, Queue 2 Length: 9
At time 6.92: Arrival, Queue 1 Length: 1010, Queue 2 Length: 10
At time 6.93: Service-2 Finished, Queue 1 Length: 1011, Queue 2 Length: 10
At time 6.96: Arrival, Queue 1 Length: 1011, Queue 2 Length: 9
At time 6.97: Service-2 Finished, Queue 1 Length: 1012, Queue 2 Length: 9
At time 7.04: Service-1 Finished, Queue 1 Length: 1012, Queue 2 Length: 8
At time 7.12: Service-1 Finished, Queue 1 Length: 1011, Queue 2 Length: 9
At time 7.16: Service-1 Finished, Queue 1 Length: 1010, Queue 2 Length: 10
At time 7.23: Arrival, Queue 1 Length: 1009, Queue 2 Length: 11
At time 7.24: Service-1 Finished, Queue 1 Length: 1010, Queue 2 Length: 11
At time 7.26: Service-2 Finished, Queue 1 Length: 1009, Queue 2 Length: 12
At time 7.31: Service-1 Finished, Queue 1 Length: 1009, Queue 2 Length: 11
At time 7.32: Service-1 Finished, Queue 1 Length: 1008, Queue 2 Length: 12
At time 7.44: Arrival, Queue 1 Length: 1007, Queue 2 Length: 13
At time 7.46: Arrival, Queue 1 Length: 1008, Queue 2 Length: 13
At time 7.49: Service-1 Finished, Queue 1 Length: 1009, Queue 2 Length: 13
At time 7.58: Service-1 Finished, Queue 1 Length: 1008, Queue 2 Length: 14
At time 7.60: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 15
At time 7.63: Arrival, Queue 1 Length: 1006, Queue 2 Length: 16
At time 7.63: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 16
At time 7.87: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 15
At time 7.91: Arrival, Queue 1 Length: 1006, Queue 2 Length: 16
At time 7.91: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 16
At time 8.03: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 15
At time 8.04: Service-2 Finished, Queue 1 Length: 1006, Queue 2 Length: 16
At time 8.20: Service-2 Finished, Queue 1 Length: 1006, Queue 2 Length: 15
At time 8.24: Service-2 Finished, Queue 1 Length: 1006, Queue 2 Length: 14
At time 8.27: Arrival, Queue 1 Length: 1006, Queue 2 Length: 13
At time 8.33: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 13
At time 8.36: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 12
At time 8.43: Arrival, Queue 1 Length: 1006, Queue 2 Length: 13
At time 8.44: Arrival, Queue 1 Length: 1007, Queue 2 Length: 13
At time 8.66: Service-2 Finished, Queue 1 Length: 1008, Queue 2 Length: 13
At time 8.72: Service-2 Finished, Queue 1 Length: 1008, Queue 2 Length: 12
At time 8.73: Service-1 Finished, Queue 1 Length: 1008, Queue 2 Length: 11
At time 8.73: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 12
At time 8.74: Service-1 Finished, Queue 1 Length: 1006, Queue 2 Length: 13
At time 8.81: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 14
At time 8.89: Arrival, Queue 1 Length: 1004, Queue 2 Length: 15
At time 8.93: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 15
At time 8.94: Arrival, Queue 1 Length: 1005, Queue 2 Length: 14
At time 8.99: Service-1 Finished, Queue 1 Length: 1006, Queue 2 Length: 14
At time 9.27: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 15
At time 9.29: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 14
At time 9.33: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 13
At time 9.53: Arrival, Queue 1 Length: 1004, Queue 2 Length: 14
At time 9.54: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 14
At time 9.57: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 13
At time 9.69: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 12
At time 9.76: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 13
At time 9.82: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 14
At time 9.92: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 15
At time 10.05: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 16
At time 10.11: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 15
At time 10.17: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 16
At time 10.17: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 15
At time 10.20: Arrival, Queue 1 Length: 1000, Queue 2 Length: 14
At time 10.24: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 14
At time 10.44: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 13
At time 10.45: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 12
At time 10.51: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 13
At time 10.51: Service-1 Finished, Queue 1 Length: 999, Queue 2 Length: 14
At time 10.53: Arrival, Queue 1 Length: 998, Queue 2 Length: 15
At time 10.57: Arrival, Queue 1 Length: 999, Queue 2 Length: 15
At time 10.61: Arrival, Queue 1 Length: 1000, Queue 2 Length: 15
At time 10.61: Arrival, Queue 1 Length: 1001, Queue 2 Length: 15
At time 10.69: Arrival, Queue 1 Length: 1002, Queue 2 Length: 15
At time 10.71: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 15
At time 10.82: Arrival, Queue 1 Length: 1002, Queue 2 Length: 16
At time 10.94: Arrival, Queue 1 Length: 1003, Queue 2 Length: 16
At time 10.96: Arrival, Queue 1 Length: 1004, Queue 2 Length: 16
At time 11.10: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 16
At time 11.17: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 17
At time 11.24: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 16
At time 11.30: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 15
At time 11.44: Arrival, Queue 1 Length: 1003, Queue 2 Length: 16
At time 11.78: Arrival, Queue 1 Length: 1004, Queue 2 Length: 16
At time 11.79: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 16
At time 11.94: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 17
At time 12.13: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 16
At time 12.17: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 17
At time 12.33: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 16
At time 12.40: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 17
At time 12.41: Arrival, Queue 1 Length: 1001, Queue 2 Length: 18
At time 12.47: Arrival, Queue 1 Length: 1002, Queue 2 Length: 18
At time 12.49: Arrival, Queue 1 Length: 1003, Queue 2 Length: 18
At time 12.53: Arrival, Queue 1 Length: 1004, Queue 2 Length: 18
At time 12.80: Arrival, Queue 1 Length: 1005, Queue 2 Length: 18
At time 12.91: Arrival, Queue 1 Length: 1006, Queue 2 Length: 18
At time 12.94: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 18
At time 13.00: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 17
At time 13.01: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 16
At time 13.02: Service-2 Finished, Queue 1 Length: 1006, Queue 2 Length: 17
At time 13.08: Service-1 Finished, Queue 1 Length: 1006, Queue 2 Length: 16
At time 13.52: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 17
At time 13.56: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 16
At time 13.60: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 15
At time 13.61: Arrival, Queue 1 Length: 1005, Queue 2 Length: 14
At time 13.64: Arrival, Queue 1 Length: 1006, Queue 2 Length: 14
At time 13.65: Service-2 Finished, Queue 1 Length: 1007, Queue 2 Length: 14
At time 13.67: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 13
At time 13.81: Service-1 Finished, Queue 1 Length: 1006, Queue 2 Length: 14
At time 14.02: Service-2 Finished, Queue 1 Length: 1005, Queue 2 Length: 15
At time 14.05: Service-1 Finished, Queue 1 Length: 1005, Queue 2 Length: 14
At time 14.16: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 15
At time 14.20: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 14
At time 14.24: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 15
At time 14.27: Service-2 Finished, Queue 1 Length: 1003, Queue 2 Length: 14
At time 14.34: Service-1 Finished, Queue 1 Length: 1003, Queue 2 Length: 13
At time 14.37: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 14
At time 14.44: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 15
At time 14.47: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 14
At time 14.57: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 13
At time 14.59: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 12
At time 14.64: Arrival, Queue 1 Length: 1000, Queue 2 Length: 13
At time 14.68: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 13
At time 14.74: Arrival, Queue 1 Length: 1001, Queue 2 Length: 12
At time 14.89: Service-1 Finished, Queue 1 Length: 1002, Queue 2 Length: 12
At time 15.05: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 13
At time 15.12: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 12
At time 15.15: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 13
At time 15.30: Service-2 Finished, Queue 1 Length: 999, Queue 2 Length: 14
At time 15.34: Service-1 Finished, Queue 1 Length: 999, Queue 2 Length: 13
At time 15.38: Arrival, Queue 1 Length: 998, Queue 2 Length: 14
At time 15.41: Arrival, Queue 1 Length: 999, Queue 2 Length: 14
At time 15.65: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 14
At time 15.88: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 13
At time 16.02: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 12
At time 16.32: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 11
At time 16.52: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 10
At time 16.52: Service-2 Finished, Queue 1 Length: 1000, Queue 2 Length: 9
At time 16.61: Arrival, Queue 1 Length: 1000, Queue 2 Length: 8
At time 16.82: Service-2 Finished, Queue 1 Length: 1001, Queue 2 Length: 8
At time 16.83: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 7
At time 16.92: Arrival, Queue 1 Length: 1000, Queue 2 Length: 8
At time 16.92: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 8
At time 17.21: Arrival, Queue 1 Length: 1000, Queue 2 Length: 9
At time 17.24: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 9
At time 17.30: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 10
At time 17.35: Arrival, Queue 1 Length: 999, Queue 2 Length: 11
At time 17.40: Arrival, Queue 1 Length: 1000, Queue 2 Length: 11
At time 17.42: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 11
At time 17.55: Arrival, Queue 1 Length: 1000, Queue 2 Length: 12
At time 17.56: Service-1 Finished, Queue 1 Length: 1001, Queue 2 Length: 12
At time 17.65: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 13
At time 17.72: Service-1 Finished, Queue 1 Length: 999, Queue 2 Length: 14
At time 17.84: Service-1 Finished, Queue 1 Length: 998, Queue 2 Length: 15
At time 17.95: Arrival, Queue 1 Length: 997, Queue 2 Length: 16
At time 18.04: Service-2 Finished, Queue 1 Length: 998, Queue 2 Length: 16
At time 18.07: Arrival, Queue 1 Length: 998, Queue 2 Length: 15
At time 18.15: Service-2 Finished, Queue 1 Length: 999, Queue 2 Length: 15
At time 18.26: Arrival, Queue 1 Length: 999, Queue 2 Length: 14
At time 18.27: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 14
At time 18.42: Arrival, Queue 1 Length: 999, Queue 2 Length: 15
At time 18.50: Arrival, Queue 1 Length: 1000, Queue 2 Length: 15
At time 18.52: Arrival, Queue 1 Length: 1001, Queue 2 Length: 15
At time 18.64: Service-2 Finished, Queue 1 Length: 1002, Queue 2 Length: 15
At time 18.66: Service-2 Finished, Queue 1 Length: 1002, Queue 2 Length: 14
At time 18.82: Service-2 Finished, Queue 1 Length: 1002, Queue 2 Length: 13
At time 19.02: Arrival, Queue 1 Length: 1002, Queue 2 Length: 12
At time 19.16: Arrival, Queue 1 Length: 1003, Queue 2 Length: 12
At time 19.22: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 12
At time 19.25: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 11
At time 19.53: Service-2 Finished, Queue 1 Length: 1004, Queue 2 Length: 10
At time 19.58: Service-1 Finished, Queue 1 Length: 1004, Queue 2 Length: 9
At time 19.76: Arrival, Queue 1 Length: 1003, Queue 2 Length: 10
At time 19.76: Arrival, Queue 1 Length: 1004, Queue 2 Length: 10
At time 19.87: Arrival, Queue 1 Length: 1005, Queue 2 Length: 10
At time 19.92: Arrival, Queue 1 Length: 1006, Queue 2 Length: 10
At time 20.00: Arrival, Queue 1 Length: 1007, Queue 2 Length: 10
At time 20.16: Service-1 Finished, Queue 1 Length: 1008, Queue 2 Length: 10
At time 20.31: Service-1 Finished, Queue 1 Length: 1007, Queue 2 Length: 11
At time 20.31: Arrival, Queue 1 Length: 1006, Queue 2 Length: 12
At time 20.32: Arrival, Queue 1 Length: 1007, Queue 2 Length: 12
At time 20.33: Arrival, Queue 1 Length: 1008, Queue 2 Length: 12
At time 20.33: Service-2 Finished, Queue 1 Length: 1009, Queue 2 Length: 12
At time 20.35: Service-2 Finished, Queue 1 Length: 1009, Queue 2 Length: 11
At time 20.43: Service-2 Finished, Queue 1 Length: 1009, Queue 2 Length: 10
At time 20.49: Service-2 Finished, Queue 1 Length: 1009, Queue 2 Length: 9
At time 20.54: Arrival, Queue 1 Length: 1009, Queue 2 Length: 8
At time 20.68: Arrival, Queue 1 Length: 1010, Queue 2 Length: 8
At time 20.90: Arrival, Queue 1 Length: 1011, Queue 2 Length: 8
At time 20.94: Arrival, Queue 1 Length: 1012, Queue 2 Length: 8
At time 21.04: Service-1 Finished, Queue 1 Length: 1013, Queue 2 Length: 8
At time 21.10: Arrival, Queue 1 Length: 1012, Queue 2 Length: 9
At time 21.15: Arrival, Queue 1 Length: 1013, Queue 2 Length: 9
At time 21.16: Service-2 Finished, Queue 1 Length: 1014, Queue 2 Length: 9
At time 21.23: Arrival, Queue 1 Length: 1014, Queue 2 Length: 8
At time 21.23: Service-1 Finished, Queue 1 Length: 1015, Queue 2 Length: 8
At time 21.38: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 9
At time 21.45: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 10
At time 21.62: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 9
At time 21.85: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 8
At time 21.95: Service-2 Finished, Queue 1 Length: 1013, Queue 2 Length: 7
At time 21.98: Arrival, Queue 1 Length: 1013, Queue 2 Length: 6
At time 22.05: Service-1 Finished, Queue 1 Length: 1014, Queue 2 Length: 6
At time 22.07: Arrival, Queue 1 Length: 1013, Queue 2 Length: 7
At time 22.14: Service-2 Finished, Queue 1 Length: 1014, Queue 2 Length: 7
At time 22.23: Arrival, Queue 1 Length: 1014, Queue 2 Length: 6
At time 22.28: Arrival, Queue 1 Length: 1015, Queue 2 Length: 6
At time 22.32: Arrival, Queue 1 Length: 1016, Queue 2 Length: 6
At time 22.52: Arrival, Queue 1 Length: 1017, Queue 2 Length: 6
At time 22.61: Service-1 Finished, Queue 1 Length: 1018, Queue 2 Length: 6
At time 22.68: Service-1 Finished, Queue 1 Length: 1017, Queue 2 Length: 7
At time 22.81: Arrival, Queue 1 Length: 1016, Queue 2 Length: 8
At time 22.85: Service-2 Finished, Queue 1 Length: 1017, Queue 2 Length: 8
At time 22.92: Service-2 Finished, Queue 1 Length: 1017, Queue 2 Length: 7
At time 23.26: Arrival, Queue 1 Length: 1017, Queue 2 Length: 6
At time 23.40: Arrival, Queue 1 Length: 1018, Queue 2 Length: 6
At time 23.59: Arrival, Queue 1 Length: 1019, Queue 2 Length: 6
At time 23.63: Arrival, Queue 1 Length: 1020, Queue 2 Length: 6
At time 23.77: Arrival, Queue 1 Length: 1021, Queue 2 Length: 6
At time 23.79: Arrival, Queue 1 Length: 1022, Queue 2 Length: 6
At time 23.84: Service-1 Finished, Queue 1 Length: 1023, Queue 2 Length: 6
At time 23.85: Arrival, Queue 1 Length: 1022, Queue 2 Length: 7
At time 23.88: Service-1 Finished, Queue 1 Length: 1023, Queue 2 Length: 7
At time 23.91: Service-2 Finished, Queue 1 Length: 1022, Queue 2 Length: 8
At time 24.00: Service-2 Finished, Queue 1 Length: 1022, Queue 2 Length: 7
At time 24.00: Arrival, Queue 1 Length: 1022, Queue 2 Length: 6
At time 24.15: Service-1 Finished, Queue 1 Length: 1023, Queue 2 Length: 6
At time 24.28: Arrival, Queue 1 Length: 1022, Queue 2 Length: 7
At time 24.36: Arrival, Queue 1 Length: 1023, Queue 2 Length: 7
At time 24.42: Arrival, Queue 1 Length: 1024, Queue 2 Length: 7
At time 24.46: Service-1 Finished, Queue 1 Length: 1025, Queue 2 Length: 7
At time 24.56: Arrival, Queue 1 Length: 1024, Queue 2 Length: 8
At time 24.71: Arrival, Queue 1 Length: 1025, Queue 2 Length: 8
At time 24.80: Service-2 Finished, Queue 1 Length: 1026, Queue 2 Length: 8
At time 25.00: Arrival, Queue 1 Length: 1026, Queue 2 Length: 7
At time 25.08: Arrival, Queue 1 Length: 1027, Queue 2 Length: 7
At time 25.09: Service-1 Finished, Queue 1 Length: 1028, Queue 2 Length: 7
At time 25.13: Service-2 Finished, Queue 1 Length: 1027, Queue 2 Length: 8
At time 25.13: Service-2 Finished, Queue 1 Length: 1027, Queue 2 Length: 7
At time 25.14: Service-2 Finished, Queue 1 Length: 1027, Queue 2 Length: 6
At time 25.14: Service-2 Finished, Queue 1 Length: 1027, Queue 2 Length: 5
At time 25.23: Service-2 Finished, Queue 1 Length: 1027, Queue 2 Length: 4
At time 25.39: Arrival, Queue 1 Length: 1027, Queue 2 Length: 3
At time 25.47: Arrival, Queue 1 Length: 1028, Queue 2 Length: 3
At time 25.50: Arrival, Queue 1 Length: 1029, Queue 2 Length: 3
At time 25.62: Arrival, Queue 1 Length: 1030, Queue 2 Length: 3
At time 25.65: Service-1 Finished, Queue 1 Length: 1031, Queue 2 Length: 3
At time 25.66: Service-2 Finished, Queue 1 Length: 1030, Queue 2 Length: 4
At time 25.76: Service-2 Finished, Queue 1 Length: 1030, Queue 2 Length: 3
At time 25.85: Service-1 Finished, Queue 1 Length: 1030, Queue 2 Length: 2
At time 26.00: Arrival, Queue 1 Length: 1029, Queue 2 Length: 3
At time 26.02: Arrival, Queue 1 Length: 1030, Queue 2 Length: 3
At time 26.03: Service-2 Finished, Queue 1 Length: 1031, Queue 2 Length: 3
At time 26.26: Arrival, Queue 1 Length: 1031, Queue 2 Length: 2
At time 26.31: Arrival, Queue 1 Length: 1032, Queue 2 Length: 2
At time 26.32: Arrival, Queue 1 Length: 1033, Queue 2 Length: 2
At time 26.38: Service-1 Finished, Queue 1 Length: 1034, Queue 2 Length: 2
At time 26.42: Arrival, Queue 1 Length: 1033, Queue 2 Length: 3
At time 26.44: Arrival, Queue 1 Length: 1034, Queue 2 Length: 3
At time 26.48: Service-2 Finished, Queue 1 Length: 1035, Queue 2 Length: 3
At time 26.49: Arrival, Queue 1 Length: 1035, Queue 2 Length: 2
At time 26.59: Arrival, Queue 1 Length: 1036, Queue 2 Length: 2
At time 26.66: Service-2 Finished, Queue 1 Length: 1037, Queue 2 Length: 2
At time 26.84: Service-2 Finished, Queue 1 Length: 1037, Queue 2 Length: 1
At time 26.88: Arrival, Queue 1 Length: 1037, Queue 2 Length: 0
At time 26.98: Service-1 Finished, Queue 1 Length: 1038, Queue 2 Length: 0
At time 27.09: Service-1 Finished, Queue 1 Length: 1037, Queue 2 Length: 1
At time 27.23: Service-2 Finished, Queue 1 Length: 1036, Queue 2 Length: 2
At time 27.38: Service-2 Finished, Queue 1 Length: 1036, Queue 2 Length: 1
At time 27.45: Arrival, Queue 1 Length: 1036, Queue 2 Length: 0
At time 27.52: Arrival, Queue 1 Length: 1037, Queue 2 Length: 0
At time 27.56: Arrival, Queue 1 Length: 1038, Queue 2 Length: 0
At time 27.83: Service-1 Finished, Queue 1 Length: 1039, Queue 2 Length: 0
At time 27.87: Arrival, Queue 1 Length: 1038, Queue 2 Length: 1
At time 27.94: Service-2 Finished, Queue 1 Length: 1039, Queue 2 Length: 1
At time 28.07: Service-1 Finished, Queue 1 Length: 1039, Queue 2 Length: 0
At time 28.08: Service-1 Finished, Queue 1 Length: 1038, Queue 2 Length: 1
At time 28.08: Arrival, Queue 1 Length: 1037, Queue 2 Length: 2
At time 28.28: Service-1 Finished, Queue 1 Length: 1038, Queue 2 Length: 2
At time 28.30: Arrival, Queue 1 Length: 1037, Queue 2 Length: 3
At time 28.33: Arrival, Queue 1 Length: 1038, Queue 2 Length: 3
At time 28.45: Service-2 Finished, Queue 1 Length: 1039, Queue 2 Length: 3
